2022-06-10 14:27:30.688 [restartedMain] INFO  com.ginfon.main.GinFonSystemApplication-Starting GinFonSystemApplication on DESKTOP-HMJHOOG with PID 37016 (E:\shunfeng\JIKONG3.0\gf-scada\target\classes started by Administrator in E:\shunfeng\JIKONG3.0\gf-scada)
2022-06-10 15:47:59.379 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.379 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.379 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.379 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.379 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.380 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.380 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.382 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.383 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.383 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.383 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.384 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.384 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.384 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.384 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.384 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.384 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.384 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.385 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.385 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.386 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.386 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.386 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.386 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.386 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.386 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.387 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.387 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.387 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.387 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.387 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.387 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.388 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.388 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.388 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.390 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.391 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.392 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.392 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.392 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.392 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.392 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.392 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.392 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.393 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.393 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.393 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.393 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.393 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.393 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
